Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	2.214301347732544	0.7853009700775146	260.20404052734375	11.42661190032959	230.9262237548828	0.17824224	-0.053167664	0.8965188264846802	True
0	100	3.064103126525879	0.26308488845825195	228.01736450195312	0.7805089950561523	135.05233764648438	0.21894582	-0.07828019	1.477243185043335	True
0	200	2.532848358154297	0.27025485038757324	215.82928466796875	0.7845893502235413	134.91993713378906	0.22502965	-0.07310289	1.4792571067810059	True
0	300	2.5372416973114014	0.26311635971069336	237.65382385253906	0.8909682035446167	134.312255859375	0.22697046	0.05432999	1.6968955993652344	True
1	400	1.7110059261322021	0.2079014778137207	217.21865844726562	0.8518899083137512	134.05621337890625	0.22794311	0.1421882	1.5236122608184814	True
1	500	2.1581544876098633	0.1862328052520752	214.96002197265625	0.835435152053833	133.55868530273438	0.22921251	0.19765079	1.5002245903015137	True
1	600	2.45762038230896	0.1824486255645752	219.04151916503906	0.6431262493133545	133.5810089111328	0.23012505	0.29629165	1.4180047512054443	True
2	700	1.1824021339416504	0.18088078498840332	217.45860290527344	0.7146911025047302	132.6798858642578	0.23214228	0.37931037	1.7600256204605103	True
2	800	2.4571192264556885	0.18412113189697266	209.8544921875	0.45267167687416077	132.28038024902344	0.23442721	0.425511	1.3628833293914795	True
2	900	2.458566427230835	0.19095802307128906	199.20968627929688	0.5706337690353394	132.30734252929688	0.23637852	0.4511391	1.0742489099502563	True
3	1000	0.6460392475128174	0.20080828666687012	223.8364715576172	0.5650245547294617	131.78843688964844	0.23799127	0.47084445	1.1552112102508545	True
3	1100	2.4623916149139404	0.1859734058380127	206.49562072753906	0.46609020233154297	131.6432342529297	0.2386099	0.4851123	1.349260687828064	False
3	1200	2.418401002883911	0.18963265419006348	234.32498168945312	0.5850306153297424	131.44320678710938	0.2398482	0.48470366	1.3723680973052979	True
4	1300	0.10909295082092285	0.1836087703704834	212.8814239501953	0.4842897951602936	131.4686279296875	0.23952442	0.4976079	1.1722544431686401	True
4	1400	2.4606850147247314	0.1838529109954834	221.48687744140625	0.6460837721824646	131.51416015625	0.240489	0.5038443	1.1534509658813477	False
4	1500	2.4045841693878174	0.1817622184753418	233.52078247070312	0.5008103847503662	131.2147979736328	0.24158312	0.5052726	1.1721142530441284	True
4	1600	2.451749563217163	0.18643760681152344	195.12991333007812	0.43560194969177246	131.1350860595703	0.24222486	0.5110389	1.1413891315460205	True
5	1700	1.803403615951538	0.206984281539917	215.22567749023438	0.5066612958908081	130.97268676757812	0.24288465	0.5115379	1.1359750032424927	True
5	1800	2.4686925411224365	0.19265341758728027	208.18191528320312	0.5438188314437866	131.174072265625	0.24217457	0.5103277	1.44057297706604	False
5	1900	2.417043924331665	0.19032502174377441	220.76080322265625	0.4215097427368164	130.9690399169922	0.24344073	0.5201527	1.116835117340088	True
6	2000	1.271489143371582	0.1826469898223877	218.33944702148438	0.5645663738250732	131.35531616210938	0.24337783	0.5230906	1.088127851486206	False
6	2100	2.4180943965911865	0.18978428840637207	207.70556640625	0.5989363193511963	130.9691162109375	0.24374183	0.52488875	1.0372507572174072	True
6	2200	2.467808723449707	0.18641424179077148	210.95611572265625	0.5061177015304565	131.0891571044922	0.24318488	0.5347434	1.1865051984786987	False
7	2300	0.728473424911499	0.1823437213897705	204.3842010498047	0.6593608856201172	130.62147521972656	0.2454246	0.5312951	1.3604105710983276	True
7	2400	2.4614341259002686	0.1887054443359375	214.17947387695312	0.6639134883880615	130.84381103515625	0.24399285	0.5339639	1.2953441143035889	False
7	2500	2.4187698364257812	0.19115829467773438	215.9078826904297	0.4528005123138428	130.82582092285156	0.24413978	0.5423869	1.1271528005599976	True
8	2600	0.08646035194396973	0.10005402565002441	210.19781494140625	0.5529012680053711	130.69960021972656	0.24508607	0.54016495	1.2173339128494263	True
8	2700	2.3745615482330322	0.18751287460327148	219.44334411621094	0.5089285969734192	130.67385864257812	0.24519508	0.5404504	1.4363666772842407	False
8	2800	2.410890579223633	0.18254971504211426	213.66818237304688	0.5694757699966431	130.8590087890625	0.24501546	0.53666395	1.5339322090148926	False
8	2900	2.4119420051574707	0.1833178997039795	218.5309295654297	0.5537521839141846	130.8134307861328	0.2461152	0.5439296	1.1268424987792969	False
9	3000	1.8975448608398438	0.1871328353881836	220.01739501953125	0.532977819442749	130.7725830078125	0.24596742	0.5489556	1.3354250192642212	False
9	3100	2.4149982929229736	0.1837606430053711	228.43637084960938	0.5862402319908142	130.68850708007812	0.24671738	0.5391228	1.11461341381073	True
9	3200	2.4547901153564453	0.18455791473388672	220.93392944335938	0.5878049731254578	130.8281707763672	0.2466267	0.54368716	0.9736877679824829	True
10	3300	1.3605384826660156	0.19274497032165527	213.29415893554688	0.4968685209751129	130.72752380371094	0.24474984	0.5505758	1.0034987926483154	True
10	3400	2.461764335632324	0.1916353702545166	206.37701416015625	0.4958818554878235	130.62599182128906	0.24618717	0.555217	1.3549094200134277	False
10	3500	2.418177843093872	0.1870577335357666	207.3829345703125	0.4072292149066925	130.63467407226562	0.24573807	0.5518777	1.2494394779205322	False
11	3600	0.8241896629333496	0.18698406219482422	204.62985229492188	0.45222145318984985	130.78062438964844	0.24669372	0.55763257	1.1545343399047852	False
11	3700	2.398735761642456	0.19881820678710938	214.0614013671875	0.6256527900695801	130.6797332763672	0.24596357	0.5500878	1.043225646018982	True
11	3800	2.46576189994812	0.1831510066986084	217.0910186767578	0.4149740934371948	130.6841583251953	0.24567759	0.5580354	1.1411831378936768	False
12	3900	0.2904849052429199	0.18566179275512695	225.83340454101562	0.427412748336792	130.5333709716797	0.24629474	0.5600029	1.298972249031067	False
12	4000	2.4146456718444824	0.18239498138427734	233.53091430664062	0.5439709424972534	130.70419311523438	0.24639034	0.5650385	1.4093670845031738	False
12	4100	2.3951869010925293	0.1824970245361328	227.56631469726562	0.5221819877624512	130.50343322753906	0.24706452	0.56288815	1.1901735067367554	True
12	4200	2.4514272212982178	0.18594861030578613	212.13046264648438	0.4934162497520447	130.6712646484375	0.24750744	0.5619361	1.1999565362930298	False
13	4300	1.6157562732696533	0.18454384803771973	204.86831665039062	0.6177089214324951	130.5106964111328	0.24741861	0.5659098	1.2665934562683105	False
13	4400	2.3980650901794434	0.184187650680542	220.63577270507812	0.4346926212310791	130.4032745361328	0.24720366	0.56385434	1.260285496711731	True
13	4500	2.4581191539764404	0.18536901473999023	196.8328094482422	0.5120967030525208	130.64224243164062	0.2468281	0.558766	1.2379088401794434	False
14	4600	1.436316967010498	0.19052433967590332	195.9234619140625	0.41546499729156494	130.8524627685547	0.24642819	0.5651886	1.1964116096496582	False
14	4700	2.4079248905181885	0.19348764419555664	205.59388732910156	0.5181354284286499	130.67733764648438	0.2461831	0.5664861	1.0583351850509644	False
14	4800	2.413914680480957	0.18598461151123047	207.90406799316406	0.5129268765449524	130.63211059570312	0.2446065	0.56491256	1.1128616333007812	False
15	4900	0.9058022499084473	0.19494009017944336	212.50494384765625	0.4659161865711212	130.5474090576172	0.24587235	0.5701688	1.3486409187316895	False
15	5000	2.406938314437866	0.1906266212463379	214.0804443359375	0.5324499607086182	130.86373901367188	0.24640122	0.57002497	1.1931496858596802	False
15	5100	2.4112863540649414	0.1935269832611084	204.03872680664062	0.38001200556755066	130.50460815429688	0.24692811	0.5734024	1.215406894683838	False
16	5200	0.3745603561401367	0.19306278228759766	218.28292846679688	0.5392853021621704	130.5822296142578	0.24689414	0.5724821	0.9773613214492798	True
16	5300	2.4675331115722656	0.18754076957702637	216.09768676757812	0.4712548851966858	130.42288208007812	0.24732776	0.57191414	1.128100872039795	True
16	5400	2.461773157119751	0.18259835243225098	224.77166748046875	0.44682440161705017	130.6137237548828	0.24618934	0.57529247	1.0193705558776855	False
16	5500	2.407930612564087	0.1808159351348877	220.91595458984375	0.4469687044620514	130.5748748779297	0.24658097	0.5777492	1.4411269426345825	False
17	5600	2.071445941925049	0.18265533447265625	208.52902221679688	0.4632721543312073	130.43576049804688	0.24748889	0.5757923	0.9709666967391968	True
17	5700	2.4558286666870117	0.18423056602478027	212.02569580078125	0.4196892976760864	130.46115112304688	0.24658038	0.5707488	0.9900891780853271	False
17	5800	2.4134087562561035	0.18450069427490234	206.78952026367188	0.5877871513366699	130.4857635498047	0.24701352	0.57478	1.0496137142181396	False
18	5900	1.5304875373840332	0.1825389862060547	220.29444885253906	0.5809133648872375	130.43673706054688	0.24709964	0.5753621	1.2325947284698486	False
