Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.0279655456542969	0.40188169479370117	510.4916687011719	34.31759262084961	592.767822265625	0.0045661186	-0.15413919	21.152633666992188	True
0	100	1.4071292877197266	0.23306941986083984	472.5840759277344	7.874421119689941	297.2645568847656	0.051149037	-0.15316355	3.9233527183532715	True
0	200	1.2220137119293213	0.2334282398223877	540.2029418945312	0.8902662992477417	289.66693115234375	0.09933556	-0.15400945	1.4831876754760742	True
0	300	1.2152440547943115	0.23375153541564941	528.4532470703125	0.7310155630111694	278.5155029296875	0.1581586	-0.054441154	1.0082693099975586	True
0	400	1.2210285663604736	0.23310112953186035	410.76971435546875	0.5268906354904175	262.1283874511719	0.2196284	-0.0020906292	0.826151967048645	True
0	500	1.224773645401001	0.229661226272583	453.63690185546875	0.7749355435371399	254.4109344482422	0.24520323	-0.11717938	1.0753456354141235	True
0	600	1.2353646755218506	0.23359251022338867	420.8701477050781	0.626786470413208	251.62869262695312	0.25199273	-0.069794044	0.9266202449798584	True
1	700	0.5137560367584229	0.23001837730407715	401.8194580078125	0.6285800933837891	250.68142700195312	0.25483817	0.0051704925	0.9575124979019165	True
1	800	1.2192189693450928	0.22986984252929688	407.5736083984375	0.674961507320404	252.10525512695312	0.25616002	0.12312417	1.299206256866455	False
1	900	1.2149686813354492	0.22897982597351074	421.18182373046875	0.6657382249832153	249.86680603027344	0.25905004	0.20573413	1.0445597171783447	True
1	1000	1.2521510124206543	0.23497700691223145	427.7984313964844	0.4394526481628418	249.4074249267578	0.25988874	0.27570185	1.1042227745056152	True
1	1100	1.2359850406646729	0.23601484298706055	403.3442687988281	0.5875848531723022	248.917236328125	0.26200062	0.308838	1.240143060684204	True
1	1200	1.226759433746338	0.230665922164917	443.9378356933594	0.5818095207214355	248.667236328125	0.2633326	0.3424182	1.1819831132888794	True
2	1300	0.046747446060180664	0.22993206977844238	417.5583801269531	0.5556655526161194	249.36831665039062	0.26316547	0.3791486	0.7953199148178101	False
2	1400	1.2098312377929688	0.22962260246276855	452.03875732421875	0.6256246566772461	248.35986328125	0.26491308	0.39104724	0.9700174331665039	True
